VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 229}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 36}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 199}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 104}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 111}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 35}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 122}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 143}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 97}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 209}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 117}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 192}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 55}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 175}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 212}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 196}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 61}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 138}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 81}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 157}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 260}
VelocitySample {SID: 1, CITY: Lisbon, DATE: 09-01-2022, VELOCITY: 98}
